[2026-04-13 21:07:56] INFO     | Batch sekarang: 2 record berhasil
[2026-04-13 21:07:56] INFO     | Total dalam dataset sekarang: 2 record
[2026-04-13 21:08:05] INFO     | Memulai scraping 2 URL dengan 3 worker...
[2026-04-13 21:08:05] INFO     | Scraping [label=0] → https://www.kitabisa.com
[2026-04-13 21:08:05] INFO     | Scraping [label=0] → https://www.tokopedia.com
[2026-04-13 21:08:05] INFO     | ✓ OK | title='Situs Jual Beli Online Terlengkap, Mudah & Aman | ' | body=298c | 
[2026-04-13 21:08:05] INFO     | ✓ OK | title='Kitabisa - Donasi, Zakat, Wakaf, dan Saling Jaga s' | body=369c | 
[2026-04-13 21:08:07] INFO     | Progress: 2/2 URL berhasil diproses
[2026-04-13 21:08:07] INFO     | CSV disimpan → model/dataset/raw_dataset.csv (2 baris ditambahkan)
[2026-04-13 21:08:07] INFO     | JSONL disimpan → model/dataset/raw_dataset.jsonl (2 baris ditambahkan)
[2026-04-13 21:08:07] INFO     | Batch sekarang: 2 record berhasil
[2026-04-13 21:08:07] INFO     | Total dalam dataset sekarang: 2 record
[2026-04-13 21:15:45] INFO     | Memulai scraping 2 URL dengan 3 worker...
[2026-04-13 21:15:45] INFO     | Scraping [label=0] → https://www.kitabisa.com
[2026-04-13 21:15:45] INFO     | Scraping [label=0] → https://www.tokopedia.com
[2026-04-13 21:15:45] INFO     | ✓ OK | title='Situs Jual Beli Online Terlengkap, Mudah & Aman | ' | body=298c | 
[2026-04-13 21:15:46] INFO     | ✓ OK | title='Kitabisa - Donasi, Zakat, Wakaf, dan Saling Jaga s' | body=369c | 
[2026-04-13 21:15:48] INFO     | Progress: 2/2 URL berhasil diproses
[2026-04-13 21:15:48] INFO     | CSV disimpan → model/dataset/raw_dataset.csv (2 baris ditambahkan)
[2026-04-13 21:15:48] INFO     | JSONL disimpan → model/dataset/raw_dataset.jsonl (2 baris ditambahkan)
[2026-04-13 21:15:48] INFO     | Batch sekarang: 2 record berhasil
[2026-04-13 21:15:48] INFO     | Total dalam dataset sekarang: 2 record
[2026-04-13 21:16:46] INFO     | Memulai scraping 2 URL dengan 3 worker...
[2026-04-13 21:16:46] INFO     | Scraping [label=0] → https://www.kitabisa.com
[2026-04-13 21:16:46] INFO     | Scraping [label=0] → https://www.tokopedia.com
[2026-04-13 21:16:46] INFO     | ✓ OK | title='Situs Jual Beli Online Terlengkap, Mudah & Aman | ' | body=298c | 
[2026-04-13 21:16:47] INFO     | ✓ OK | title='Kitabisa - Donasi, Zakat, Wakaf, dan Saling Jaga s' | body=369c | 
[2026-04-13 21:16:49] INFO     | Progress: 2/2 URL berhasil diproses
[2026-04-13 21:16:49] INFO     | CSV disimpan → model/dataset/raw_dataset.csv (2 baris ditambahkan)
[2026-04-13 21:16:49] INFO     | JSONL disimpan → model/dataset/raw_dataset.jsonl (2 baris ditambahkan)
[2026-04-13 21:16:49] INFO     | Batch sekarang: 2 record berhasil
[2026-04-13 21:16:49] INFO     | Total dalam dataset sekarang: 2 record
[2026-04-13 21:21:48] INFO     | Memulai scraping 2 URL dengan 3 worker...
[2026-04-13 21:21:48] INFO     | Scraping [label=0] → https://www.kitabisa.com
[2026-04-13 21:21:48] INFO     | Scraping [label=0] → https://www.tokopedia.com
[2026-04-13 21:21:49] INFO     | ✓ OK | title='Situs Jual Beli Online Terlengkap, Mudah & Aman | ' | body=298c | 
[2026-04-13 21:21:50] INFO     | ✓ OK | title='Kitabisa - Donasi, Zakat, Wakaf, dan Saling Jaga s' | body=369c | 
[2026-04-13 21:21:52] INFO     | Progress: 2/2 URL berhasil diproses
[2026-04-13 21:21:52] INFO     | CSV disimpan → model/dataset/raw_dataset.csv (2 baris ditambahkan)
[2026-04-13 21:21:52] INFO     | JSONL disimpan → model/dataset/raw_dataset.jsonl (2 baris ditambahkan)
[2026-04-13 21:21:52] INFO     | Batch sekarang: 2 record berhasil
[2026-04-13 21:21:52] INFO     | Total dalam dataset sekarang: 2 record
[2026-04-13 21:21:58] INFO     | Memulai scraping 2 URL dengan 3 worker...
[2026-04-13 21:21:58] INFO     | Scraping [label=0] → https://www.kitabisa.com
[2026-04-13 21:21:58] INFO     | Scraping [label=0] → https://www.tokopedia.com
[2026-04-13 21:21:58] INFO     | ✓ OK | title='Situs Jual Beli Online Terlengkap, Mudah & Aman | ' | body=298c | 
[2026-04-13 21:21:59] INFO     | ✓ OK | title='Kitabisa - Donasi, Zakat, Wakaf, dan Saling Jaga s' | body=369c | 
[2026-04-13 21:22:01] INFO     | Progress: 2/2 URL berhasil diproses
